BAC_PID,BAC_ACCNO,BAC_ACCTYPE,BAC_BALANCE,BAC_LAST_STMT_DTE,BAC_LAST_STMT_BAL,BAC_ATM_ENABLED,BAC_ATM_DAY_LIMIT,BAC_ATM_DAY_DTE,BAC_ATM_DAY_AMT,BAC_RP1_DAY,BAC_RP1_AMOUNT,BAC_RP1_PID,BAC_RP1_ACCNO,BAC_RP1_LAST_PAY,BAC_RP2_DAY,BAC_RP2_AMOUNT,BAC_RP2_PID,BAC_RP2_ACCNO,BAC_RP2_LAST_PAY,BAC_RP3_DAY,BAC_RP3_AMOUNT,BAC_RP3_PID,BAC_RP3_ACCNO,BAC_RP3_LAST_PAY,BAC_FILLER
B0023,412718856,3,474.00,2012-01-03,474.00,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0006,417984029,1,122.64,2012-01-03,122.64,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0029,420152459,2,196.70,2012-01-03,196.70,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0015,440261495,4,127.50,2012-01-03,127.50,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0036,443556119,2,430.05,2012-01-03,430.05,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0035,446453890,1,216.64,2012-01-03,216.64,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0001,450061494,1,750.12,2012-01-03,750.12,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0019,452206167,3,248.16,2012-01-03,248.16,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0020,458826510,2,111.15,2012-01-03,111.15,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0028,459775790,5,92.95,2012-01-03,92.95,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0025,472365347,3,390.57,2012-01-03,390.57,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0024,485960434,2,176.12,2012-01-03,176.12,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0009,492952258,5,69.86,2012-01-03,69.86,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0028,494077239,3,.00,2012-01-03,.00,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0008,504706312,5,415.35,2012-01-03,415.35,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0026,507537831,5,120.80,2012-01-03,120.80,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0017,509231712,1,317.40,2012-01-03,317.40,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0016,516444498,2,757.38,2012-01-03,757.38,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0020,532404349,1,15.34,2012-01-03,15.34,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0018,535696493,2,436.01,2012-01-03,436.01,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0001,541374829,3,3.60,2012-01-03,3.60,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0035,564387410,2,222.64,2012-01-03,222.64,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0024,575140550,3,255.78,2012-01-03,255.78,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0021,580996260,4,433.16,2012-01-03,433.16,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0034,582910260,5,592.02,2012-01-03,592.02,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0014,607606426,4,192.24,2012-01-03,192.24,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0014,607606427,5,1453.97,2012-01-03,1453.97,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0006,612943325,2,558.62,2012-01-03,558.62,Y ,250,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0009,613638770,3,51.87,2012-01-03,51.87,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0023,614487822,2,318.82,2012-01-03,318.82,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0033,620669186,5,30.60,2012-01-03,30.60,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0032,624576817,4,322.05,2012-01-03,322.05,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0017,632352126,2,609.74,2012-01-03,609.74,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0033,658801552,1,41.70,2012-01-03,41.70,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0009,669078553,2,726.84,2012-01-03,726.84,Y ,200,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0018,672164551,3,497.17,2012-01-03,497.17,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0007,684793285,2,121.25,2012-01-03,121.25,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0019,691529946,5,50.38,2012-01-03,50.38,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0008,698300146,2,160.65,2012-01-03,160.65,Y ,400,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0007,704177665,1,532.40,2012-01-03,532.40,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0033,722655363,2,91.20,2012-01-03,91.20,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0007,725886910,5,39.60,2012-01-03,39.60,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0022,728190635,5,152.49,2012-01-03,152.49,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0003,731813282,2,432.96,2012-01-03,432.96,Y ,200,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0017,734967143,3,373.20,2012-01-03,373.20,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0001,737590226,2,-514.80,2012-01-03,-514.80,Y ,100,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0010,740365828,3,545.01,2012-01-03,545.01,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0016,742159458,4,52.60,2012-01-03,52.60,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0024,766484266,1,419.75,2012-01-03,419.75,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0030,766814914,5,216.36,2012-01-03,216.36,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0030,821196059,3,75.99,2012-01-03,75.99,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0017,824144721,5,49.40,2012-01-03,49.40,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0013,833282554,4,28.06,2012-01-03,28.06,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0011,836284456,2,1092.63,2012-01-03,1092.63,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0014,842013421,1,19.25,2012-01-03,19.25,Y ,300,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0024,876614916,4,58.90,2012-01-03,58.90,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0012,889140501,5,190.30,2012-01-03,190.30,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0020,911829818,5,.00,2012-01-03,.00,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0023,915945638,5,223.44,2012-01-03,223.44,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0028,916885997,2,942.33,2012-01-03,942.33,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0008,917953926,1,174.41,2012-01-03,174.41,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0028,930886725,1,72.54,2012-01-03,72.54,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0007,931008548,3,115.20,2012-01-03,115.20,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0027,938696955,3,215.73,2012-01-03,215.73,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0029,946046572,1,185.85,2012-01-03,185.85,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0002,962732474,1,67.68,2012-01-03,67.68,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0007,988052896,4,185.00,2012-01-03,185.00,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
B0035,990768568,3,52.06,2012-01-03,52.06,N ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
BANK ,999999991,1,.00,2012-01-03,.00,Y ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
BANK ,999999992,2,.00,2012-01-03,.00,Y ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
BANK ,999999993,3,.00,2012-01-03,.00,Y ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
BANK ,999999994,4,.00,2012-01-03,.00,Y ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
BANK ,999999995,5,.00,2012-01-03,.00,Y ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
BANK ,999999996,6,.00,2012-01-03,.00,Y ,0,1900-01-01,0,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,00,.00,     ,         ,1900-01-01,                                                           
